player_id,position,team_id,first_name,last_name,height_feet,height_inches,weight_pounds
3,'C',11,'Steven','Adams',6,11,265
4,'C-F',16,'Bam','Adebayo',6,9,255
8,'G',24,'Grayson','Allen',6,4,198
9,'C',6,'Jarrett','Allen',6,9,243
12,'F',18,'Kyle','Anderson',6,9,230
15,'F',17,'Giannis','Antetokounmpo',6,11,243
18,'F',20,'OG','Anunoby',6,7,240
22,'C',25,'Deandre','Ayton',7,0,247
24,'F',30,'Marvin','Bagley III',6,10,235
27,'G',5,'Lonzo','Ball',6,6,190
28,'C',23,'Mo','Bamba',7,0,231
30,'F',26,'Harrison','Barnes',6,8,225
32,'F',3,'Keita','Bates-Diop',6,8,229
33,'F-G',23,'Nicolas','Batum',6,8,230
37,'G',24,'Bradley','Beal',6,4,207
38,'G',17,'Malik','Beasley',6,4,187
44,'F',4,'Davis','Bertans',6,10,225
45,'G',17,'Patrick','Beverley',6,2,180
48,'C',21,'Bismack','Biyombo',6,8,255
53,'G',1,'Bogdan','Bogdanovic',6,5,225
54,'F',20,'Bojan','Bogdanovic',6,7,226
57,'G',24,'Devin','Booker',6,6,206
58,'F',28,'Chris','Boucher',6,9,200
61,'F',3,'Mikal','Bridges',6,6,209
62,'F',4,'Miles','Bridges',6,7,225
65,'G',25,'Malcolm','Brogdon',6,4,229
66,'G-F',11,'Dillon','Brooks',6,6,225
68,'F',9,'Troy','Brown Jr.',6,7,215
69,'G',28,'Bruce','Brown',6,4,202
70,'G',2,'Jaylen','Brown',6,6,223
73,'G',20,'Jalen','Brunson',6,2,190
74,'C',16,'Thomas','Bryant',6,10,248
75,'G-F',11,'Reggie','Bullock',6,6,205
77,'G',20,'Alec','Burks',6,5,214
79,'G-F',16,'Jimmy','Butler',6,7,230
81,'G',8,'Kentavious','Caldwell-Pope',6,5,204
83,'C',1,'Clint','Capela',6,10,256
85,'F',22,'Wendell','Carter Jr.',6,10,270
87,'G',5,'Jevon','Carter',6,1,200
89,'G',5,'Alex','Caruso',6,5,186
100,'G',29,'Jordan','Clarkson',6,3,194
101,'F-C',29,'John','Collins',6,9,226
102,'F-C',27,'Zach','Collins',6,11,250
104,'G',18,'Mike','Conley',6,0,175
105,'G',17,'Pat','Connaughton',6,5,209
108,'F',23,'Robert','Covington',6,7,209
110,'F',5,'Torrey','Craig',6,5,221
112,'F',17,'Jae','Crowder',6,6,235
114,'G',4,'Seth','Curry',6,1,185
115,'G',10,'Stephen','Curry',6,2,185
117,'F-C',14,'Anthony','Davis',6,10,253
125,'G',5,'DeMar','DeRozan',6,6,220
130,'G',14,'Spencer','Dinwiddie',6,5,215
131,'G',20,'Donte','DiVincenzo',6,4,203
132,'F-G',7,'Luka','Doncic',6,7,230
137,'C',5,'Andre','Drummond',6,11,279
139,'G',29,'Kris','Dunn',6,3,205
140,'F',24,'Kevin','Durant',6,11,240
145,'F-C',23,'Joel','Embiid',7,0,280
147,'F',24,'Drew','Eubanks',6,10,245
151,'G',7,'Dante','Exum',6,5,214
158,'F',3,'Dorian','Finney-Smith',6,7,220
160,'G-F',9,'Evan','Fournier',6,6,205
161,'G',26,'De''Aaron','Fox',6,3,185
165,'G',22,'Markelle','Fultz',6,4,209
167,'F',17,'Danilo','Gallinari',6,10,236
172,'F',13,'Paul','George',6,8,220
173,'F',9,'Taj','Gibson',6,9,232
174,'F-C',14,'Harry','Giles III',6,10,240
175,'G',21,'Shai','Gilgeous-Alexander',6,6,195
176,'C',18,'Rudy','Gobert',7,1,258
177,'F',8,'Aaron','Gordon',6,8,235
178,'G',24,'Eric','Gordon',6,3,215
180,'G',27,'Devonte''','Graham',6,1,195
182,'F',25,'Jerami','Grant',6,7,210
185,'F',10,'Draymond','Green',6,6,230
188,'F',11,'Jeff','Green',6,8,235
191,'G',7,'Tim','Hardaway Jr.',6,5,205
192,'G',13,'James','Harden',6,5,220
196,'G',22,'Gary','Harris',6,4,210
200,'F',23,'Tobias','Harris',6,8,226
201,'F-C',20,'Isaiah','Hartenstein',7,0,250
202,'G',20,'Josh','Hart',6,4,215
204,'F',21,'Gordon','Hayward',6,7,225
210,'G',23,'Buddy','Hield',6,4,220
213,'G',11,'Aaron','Holiday',6,0,185
214,'G',2,'Jrue','Holiday',6,4,205
215,'F-G',8,'Justin','Holiday',6,6,180
217,'F-C',30,'Richaun','Holmes',6,9,235
219,'C-F',2,'Al','Horford',6,9,240
221,'G',26,'Kevin','Huerter',6,7,198
226,'F',22,'Joe','Ingles',6,9,220
227,'F',19,'Brandon','Ingram',6,8,190
228,'G',7,'Kyrie','Irving',6,2,195
229,'F',22,'Jonathan','Isaac',6,10,230
231,'F-C',15,'Jaren','Jackson Jr.',6,10,242
236,'G',8,'Reggie','Jackson',6,2,208
237,'F',14,'LeBron','James',6,9,250
242,'F',12,'James','Johnson',6,7,240
246,'C',8,'Nikola','Jokic',6,11,284
247,'F-G',7,'Derrick','Jones Jr.',6,6,210
248,'C',6,'Damian','Jones',6,10,245
249,'G',30,'Tyus','Jones',6,1,196
250,'C',8,'DeAndre','Jordan',6,11,265
254,'G',15,'Luke','Kennard',6,5,206
257,'F',7,'Maxi','Kleber',6,10,240
261,'F-C',2,'Luke','Kornet',7,1,250
265,'F',30,'Kyle','Kuzma',6,9,221
268,'G',5,'Zach','LaVine',6,5,200
272,'G',24,'Damion','Lee',6,6,210
273,'C',26,'Alex','Len',7,0,250
274,'F',13,'Kawhi','Leonard',6,7,225
277,'G',6,'Caris','LeVert',6,6,205
278,'G',17,'Damian','Lillard',6,2,195
