box_score_id,game_id,player_id,team_id,pts,reb,ast,blk,stl,turnover,oreb,dreb,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,ft_pct,fta,ftm,min,pf
14478223,1038449,56677826,9,15,7,3,2,5,1,1,6,'0.667',3,2,'0.545',11,6,'0.5',2,1,37,0
14478224,1038449,3547267,9,16,9,3,3,0,0,1,8,'0.5714286',7,4,'0.5',12,6,0,0,0,32,1
14478225,1038449,38017694,9,14,10,2,1,0,1,4,6,0,0,0,'0.5714286',7,4,'0.8571429',7,6,30,5
14478226,1038449,38017682,9,18,3,4,1,0,1,1,2,'0.1111111',9,1,'0.3529412',17,6,'0.8333333',6,5,31,6
14478227,1038449,17896075,9,21,3,10,0,1,1,0,3,'0.25',8,2,'0.316',19,6,1,7,7,37,3
14478228,1038449,68,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478229,1038449,3547275,9,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,05,1
14478230,1038449,38017739,9,7,2,1,0,2,3,0,2,'0.3333333',3,1,'0.25',8,2,'0.6666667',3,2,24,3
14478231,1038449,160,9,3,2,1,0,0,0,0,2,0,1,0,0,2,0,1,3,3,14,1
14478232,1038449,17895858,9,2,0,0,0,1,1,0,0,0,3,0,'0.1666667',6,1,0,0,0,14,0
14478233,1038449,320,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478234,1038449,3547240,9,4,6,0,0,0,0,2,4,0,0,0,'0.5',4,2,0,0,0,12,3
14478235,1038449,38017718,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478236,1038449,64268165,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478237,1038449,42097199,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478238,1038449,56677792,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478239,1038449,44477024,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478240,1038449,666908,6,14,4,4,0,0,2,2,2,'0.2857143',7,2,'0.3636364',11,4,1,4,4,33,3
14478241,1038449,17896076,6,22,17,7,2,2,1,4,13,0,1,0,'0.538',13,7,'0.727',11,8,35,3
14478242,1038449,9,6,9,15,2,1,1,2,4,11,NULL,0,0,'0.143',7,1,'0.875',8,7,35,1
14478243,1038449,3547247,6,12,0,4,1,1,2,0,0,'0.4',5,2,'0.4444444',9,4,1,2,2,25,2
14478244,1038449,666581,6,29,5,4,0,1,5,1,4,'0.667',12,8,'0.429',21,9,1,3,3,36,4
14478245,1038449,248,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478246,1038449,277,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478247,1038449,3547299,6,12,3,1,0,0,1,1,2,'0.4444444',9,4,'0.4444444',9,4,0,0,0,25,0
14478248,1038449,322,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478249,1038449,344,6,2,4,3,0,1,1,0,4,0,3,0,'0.1428571',7,1,0,0,0,20,0
14478250,1038449,56677872,6,4,3,0,0,0,1,0,3,0,0,0,'0.5',2,1,1,2,2,11,3
14478251,1038449,666940,6,6,2,0,2,1,0,0,2,'0.5',4,2,'0.5',4,2,0,0,0,17,4
14478252,1038449,56677847,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478253,1038449,17896029,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478254,1038449,666676,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478255,1038449,38017662,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478256,1038449,64270026,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478257,1038449,444,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478258,1038450,210,23,13,3,6,0,2,0,1,2,'0.375',8,3,'0.4545455',11,5,0,0,0,32,2
14478259,1038450,200,23,31,12,4,1,2,0,2,10,'0.625',8,5,'0.6842105',19,13,0,0,0,40,2
14478260,1038450,28,23,2,8,1,2,1,2,2,6,0,1,0,'0.25',4,1,0,0,0,19,2
14478261,1038450,3547254,23,33,6,5,1,0,0,2,4,'0.5',10,5,'0.3793103',29,11,1,6,6,39,1
14478262,1038450,286,23,15,6,10,0,0,2,1,5,'0.5',6,3,'0.556',9,5,1,2,2,36,3
14478263,1038450,33,23,8,4,2,0,0,0,2,2,'0.3333333',6,2,'0.4285714',7,3,0,0,0,27,1
14478264,1038450,56913527,23,3,1,0,0,0,0,0,1,0,1,0,'0.2',5,1,'0.5',2,1,05,0
14478265,1038450,3547294,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478266,1038450,360,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478267,1038450,368,23,5,0,7,0,0,2,0,0,'0.25',4,1,'0.3333333',6,2,0,0,0,17,4
14478268,1038450,3547270,23,11,8,3,2,0,1,5,3,0,0,0,'0.8333333',6,5,1,1,1,23,2
14478269,1038450,108,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478270,1038450,145,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478271,1038450,38017732,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478272,1038450,313,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478273,1038450,56677788,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478274,1038450,114,4,5,2,2,0,1,0,1,1,'0.3333333',3,1,'0.25',8,2,0,0,0,23,2
14478275,1038450,62,4,27,11,2,0,0,1,1,10,'0.7142857',7,5,'0.5555556',18,10,1,2,2,39,0
14478276,1038450,3547282,4,19,4,1,2,0,0,2,2,0,0,0,'0.8888889',9,8,'0.75',4,3,29,1
14478277,1038450,17896036,4,9,3,6,0,0,0,0,3,'0.25',4,1,'0.3',10,3,1,2,2,32,2
14478278,1038450,666748,4,12,4,2,2,0,1,1,3,'0.25',4,1,'0.4444444',9,4,1,3,3,32,2
14478279,1038450,44,4,14,1,2,0,0,0,0,1,'0.4',10,4,'0.417',12,5,NULL,0,0,20,1
14478280,1038450,38017708,4,2,1,0,1,1,0,0,1,0,2,0,'0.3333333',3,1,0,1,0,09,1
14478281,1038450,4197029,4,13,0,7,0,2,2,0,0,'0.5',2,1,'0.4444444',9,4,1,4,4,28,0
14478282,1038450,56677823,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478283,1038450,18678001,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478284,1038450,666965,4,13,6,2,1,1,1,2,4,1,1,1,1,6,6,0,1,0,27,4
14478285,1038450,56677848,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478286,1038450,3547239,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478287,1038450,56677866,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478288,1038450,64269817,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478289,1038450,3547271,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478290,1038450,56677846,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
14478291,1038450,38017698,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00,0
